map_size,heuristic_type,sample_size,solved_map,mean,min,25%,median,75%,max
6,h1,20,20,0.45,0,0.0,0.0,0.0,5
6,h2,20,18,0.0,0,0.0,0.0,0.0,0
6,h3,20,20,0.25,0,0.0,0.0,0.0,3
8,h1,20,20,0.6,0,0.0,0.0,0.25,4
8,h2,20,15,0.0,0,0.0,0.0,0.0,0
8,h3,20,19,1.263,0,0.0,0.0,0.0,9
10,h1,20,17,1.294,0,0.0,2.0,2.0,4
10,h2,20,11,1.182,0,0.0,0.0,0.5,10
10,h3,20,15,3.6,0,0.0,0.0,7.0,14
